# Crystal Number	Board ID	Channel Number		Enabled?
    0			273 			0 		1
    1			273			1		1
    2			273			2		1
#
    3			8 			0 		1
    4 			8			1 		1	
    5 			6			5 		1
    6 			6			6 		1
    7 			0			7 		1
    8 			6			8 		1
    9 			6			9		1
    10	 		6			10 		1
    11 			6			11 		1
    12 			6			12 		1
    13 			6			13 		1	
    14 			6			14 		1
    15 			6			15 		1
    16 			0			16 		1
    17 			0			17 		1
    18 			0			18 		1
    19 			0			19 		1
    20 			0			20 		1
    21 			0			21 		1
    22 			0			22 		1	
    23 			0			23 		1
    24 			0			24 		1
    25 			0			25 		1
    26 			0			26 		1
    27 			0			27 		1
    28 			0			28 		1
    29 			0			29 		1
    30 			0			30 		1
    31 			0			31 		1
    32 			0			32 		1
    33 			0			33 		1
    34 			0			34 		1
    35 			0			35 		1
    
